squarefoot,location,num_past_occupants,rent,building_type
2913,Downtown,2,14214.557344404786,House
4143,Downtown,2,23819.210543623612,Apartment
1800,Rural,6,6947.939103063918,House
461,Rural,3,1617.6844705557453,House
4597,Rural,2,14812.310267753706,House
2281,Suburb,7,10896.794432149998,House
1295,Rural,2,4207.681279031525,House
3642,Rural,6,15127.964491298972,Condo
4851,Downtown,1,26664.16460312072,Apartment
4098,Rural,0,12069.879851571284,House
1575,Downtown,5,10241.498212790899,Apartment
1316,Rural,7,5211.559363284745,House
637,Downtown,0,3035.633978986605,Condo
1178,Rural,9,5471.699416466943,Condo
1376,Downtown,8,8538.64072376173,House
4293,Suburb,2,16775.93636319976,House
679,Downtown,2,3303.10432145737,House
792,Downtown,3,4454.430103007317,Condo
2362,Downtown,0,11356.494588649235,Condo
4184,Rural,8,20441.501258291864,Apartment
364,Rural,2,1394.6561495574474,Condo
2868,Rural,9,12195.63047140478,House
2327,Suburb,3,11120.833858190641,Apartment
2995,Suburb,0,11637.01583367373,Condo
1795,Downtown,3,9981.644309698053,Condo
691,Suburb,0,2417.518323067319,House
4814,Downtown,4,30171.503189930423,Apartment
4774,Downtown,4,27669.11092597032,Condo
3861,Downtown,6,24250.604445094763,Condo
2578,Suburb,7,12334.508201527557,House
3399,Rural,3,13578.79673814219,Apartment
500,Suburb,6,2704.131845740704,Apartment
3404,Downtown,3,20455.33726799556,Apartment
4898,Downtown,2,28224.807249855792,Apartment
2754,Suburb,5,12139.667864144489,House
3945,Downtown,3,21916.94245800976,Condo
1104,Downtown,2,5997.434253514085,Condo
3031,Suburb,8,17705.95351780586,Apartment
3073,Suburb,4,15399.380292193511,Apartment
1870,Suburb,6,10171.769428946853,Apartment
2990,Downtown,5,17905.538350468614,Condo
4140,Downtown,9,28923.99357822408,Condo
1328,Rural,4,5574.704626896315,Apartment
802,Rural,6,3068.7138417688548,House
4793,Suburb,5,23203.59999564609,Condo
1170,Rural,9,5450.982951764503,Condo
4788,Downtown,1,26290.32989175939,Apartment
506,Rural,2,1607.8020048727228,House
1784,Downtown,1,9784.662379815487,Apartment
1163,Suburb,2,5294.7264676932755,Apartment
3090,Suburb,0,10937.725655234477,House
863,Downtown,7,5109.846355156422,House
4491,Rural,5,16509.863355882375,House
2057,Suburb,1,8313.930735533264,Condo
1978,Suburb,7,11200.759184196422,Apartment
3542,Rural,5,14264.078236636933,Condo
4936,Rural,6,18974.18694574945,House
1359,Downtown,0,6517.999478993259,Condo
2022,Rural,6,7758.317297204,House
3614,Rural,2,11819.487223025,House
3457,Rural,7,16350.227411214186,Apartment
2925,Downtown,5,19068.15380168319,Apartment
3029,Downtown,3,18176.739835119904,Apartment
1897,Suburb,7,9980.672692273454,Condo
3360,Downtown,8,24636.974807786733,Apartment
2993,Suburb,9,15362.660155815214,House
3927,Rural,1,14368.917830805503,Apartment
1663,Suburb,5,8043.8970641670285,Condo
2281,Suburb,4,11470.25277942928,Apartment
1963,Rural,4,8190.699405000594,Apartment
1829,Suburb,9,11093.644791550294,Apartment
2338,Downtown,2,12393.7449513657,Condo
3602,Downtown,7,21538.66868649753,House
2537,Downtown,7,15127.529651432988,House
1606,Downtown,4,8469.539328753533,House
4329,Suburb,7,24538.0936014079,Apartment
2975,Suburb,9,18054.404943620808,Apartment
1582,Rural,7,6962.007139674156,Condo
1009,Suburb,2,3834.766228028138,House
4713,Suburb,1,20643.178921629908,Apartment
4048,Suburb,8,23746.930266247844,Apartment
963,Rural,1,3523.894410034134,Apartment
2298,Downtown,8,15481.644333198245,Condo
3745,Suburb,3,15311.777811411688,House
4043,Rural,1,13626.286683705324,Condo
1795,Rural,9,7742.601832110462,House
3604,Rural,0,10634.594929820836,House
4063,Downtown,3,24395.81057231245,Apartment
2153,Suburb,8,12584.37196877577,Apartment
4959,Rural,8,24287.416410051308,Apartment
1591,Downtown,3,9559.035266274394,Apartment
3881,Rural,8,19002.67971594912,Apartment
3757,Rural,5,13932.190544082105,House
1936,Rural,0,6749.588977333428,Apartment
3996,Rural,9,20201.530368976175,Apartment
3299,Rural,5,13258.613551532506,Condo
3452,Downtown,8,23360.709121026146,Condo
998,Suburb,1,3787.0664656356175,House
2460,Suburb,5,10830.615582114571,House
4397,Suburb,1,17850.98589303105,Condo
1154,Suburb,3,5136.857807901749,Condo
3774,Downtown,7,26569.631787129296,Apartment
2007,Downtown,6,13608.140310369437,Apartment
3077,Downtown,8,19039.21325957608,House
2033,Rural,6,8548.587477218558,Condo
3810,Rural,0,11293.125269658785,House
502,Rural,1,1744.9851630115295,Apartment
3555,Suburb,5,15772.181288860766,House
4518,Rural,6,17362.320610454033,House
4796,Suburb,2,18715.639082250407,House
1066,Rural,8,5213.777676663572,Apartment
4689,Suburb,6,21639.120591560004,House
2627,Rural,5,11513.724431804856,Apartment
3231,Rural,5,12923.460699111343,Condo
497,Downtown,0,2198.095410378544,House
2230,Rural,4,7886.1657437238755,House
3882,Rural,9,19607.4143576912,Apartment
908,Downtown,2,4399.590468037731,House
3572,Suburb,6,19448.01524245142,Apartment
1447,Downtown,9,9224.99940138792,House
4582,Downtown,2,24378.406535360362,Condo
3697,Suburb,4,17124.293052143097,Condo
2811,Rural,6,11810.921240829579,Condo
2094,Suburb,2,8127.883998880621,House
959,Rural,9,4070.854013478634,House
3111,Rural,1,10471.324354425025,Condo
1669,Suburb,5,8030.78718930128,Condo
2286,Downtown,7,16108.417338240286,Apartment
446,Suburb,3,2168.7993268412233,Apartment
3519,Rural,8,15916.469661057938,Condo
3211,Suburb,7,16769.741925249054,Condo
2034,Suburb,6,9362.158216574288,House
2143,Rural,6,8995.203791408612,Condo
788,Downtown,2,4533.842192281031,Apartment
3276,Suburb,5,17143.59820604239,Apartment
2259,Rural,4,9441.117622839261,Apartment
2685,Rural,0,9408.277510177373,Apartment
3219,Suburb,2,14694.342767155822,Apartment
2102,Downtown,0,10892.393120484787,Apartment
4361,Suburb,3,19430.465546946376,Condo
3669,Downtown,9,27828.1464927672,Apartment
562,Downtown,2,3280.687458097106,Apartment
923,Downtown,3,5523.795047256392,Apartment
1316,Downtown,8,9724.35114384651,Apartment
3943,Suburb,2,16752.98966387631,Condo
2349,Rural,5,8689.553394251938,House
4023,Rural,5,14821.268994708662,House
4848,Rural,6,18558.269528072644,House
3408,Rural,8,13996.355974466278,House
4390,Rural,6,19947.78368834431,Apartment
2356,Rural,0,6974.100201075294,House
3470,Suburb,7,16597.667163970636,House
1982,Downtown,4,11431.07597953346,Condo
2555,Rural,8,11589.048953290183,Condo
1454,Suburb,9,8152.002232357337,Condo
4799,Rural,4,20124.343859498156,Apartment
3491,Rural,4,14613.602499836881,Apartment
1996,Downtown,1,10912.121999381672,Apartment
4291,Downtown,2,22848.36919480306,Condo
4982,Downtown,9,32007.287737626462,House
1948,Rural,8,8772.769412302276,Condo
1745,Rural,6,7935.198300480372,Apartment
4499,Rural,0,14528.079347683904,Condo
4223,Downtown,2,20600.675413776502,House
553,Suburb,1,2345.1054211188584,Apartment
3483,Rural,0,10206.444507358281,House
2857,Rural,8,11843.06283990884,House
398,Rural,7,1839.5301142242515,Apartment
2500,Suburb,4,10573.879030643684,House
3261,Rural,1,11044.367512475219,Condo
4733,Suburb,0,16710.827345795507,House
4077,Rural,6,15620.627337126461,House
3169,Suburb,1,11828.78485249243,House
3534,Rural,0,11304.10452738671,Condo
4091,Downtown,1,18950.688671366544,House
1256,Downtown,6,7148.882850802455,House
4367,Downtown,6,27378.133837555673,Condo
460,Downtown,9,3494.3149690274386,Apartment
4793,Rural,5,20869.14673475641,Apartment
1600,Downtown,4,10121.860223205718,Apartment
4287,Suburb,2,16726.261643045716,House
1827,Downtown,2,10515.120795242767,Apartment
1518,Downtown,8,10328.385579615393,Condo
4796,Downtown,3,24353.60477539287,House
3404,Rural,8,14110.201164631377,House
3035,Downtown,3,15441.719273497743,House
4855,Suburb,1,21317.037229557303,Apartment
1254,Downtown,3,7576.561710417589,Apartment
4865,Downtown,5,31800.442491528473,Apartment
3746,Downtown,5,20741.46808750067,House
1345,Suburb,4,6231.682199752576,Condo
1993,Downtown,0,8839.587235966263,House
3736,Suburb,2,15854.603135272555,Condo
862,Suburb,4,3710.289688958976,House
2785,Downtown,5,16712.718557501816,Condo
3654,Suburb,0,12974.889794326798,House
525,Rural,8,2074.97623524167,House
1259,Downtown,2,6651.589521726683,Condo
4848,Downtown,9,33980.07540272498,Condo
3367,Suburb,2,14210.830372298178,Condo
1115,Suburb,1,4532.23386818391,Condo
4942,Downtown,7,32156.682781373183,Condo
3420,Rural,2,12065.539520659802,Condo
316,Suburb,5,1475.5707873672252,Condo
1543,Suburb,1,6193.275380000825,Condo
2505,Rural,6,9525.902093658004,House
2824,Rural,3,10561.136116554611,Condo
1369,Downtown,8,9248.324196629506,Condo
3744,Rural,9,15962.60384579669,House
2865,Downtown,8,17731.113823398362,House
1360,Rural,6,6169.386112996416,Apartment
2627,Suburb,7,14826.937582430312,Apartment
3720,Downtown,2,19701.593879938933,Condo
601,Downtown,4,3438.5359283346143,Condo
4576,Downtown,1,25201.13447737801,Apartment
906,Rural,9,4512.621397975917,Apartment
3470,Suburb,6,17331.163411653128,Condo
999,Downtown,7,7037.619032377383,Apartment
1439,Downtown,8,9634.215745618361,Condo
490,Downtown,6,2774.9110188579675,House
2600,Downtown,9,16629.564565218036,House
1280,Suburb,9,7707.282976718544,Apartment
3275,Rural,7,13053.913041100894,House
1484,Suburb,8,7371.926498745989,House
3627,Downtown,5,20033.46801105953,House
3694,Suburb,9,18967.84837083082,House
427,Downtown,1,2122.8075756780663,Condo
2365,Rural,1,8016.3399514508765,Condo
2116,Rural,3,8414.874519142972,Apartment
869,Rural,8,3599.364347090459,House
2195,Downtown,6,12646.293453318913,House
3033,Suburb,1,11397.15797866621,House
4163,Rural,7,19517.45690852432,Apartment
4314,Downtown,6,27221.183403529634,Condo
3201,Downtown,8,19879.81094422082,House
1986,Suburb,7,10451.438037468057,Condo
3309,Rural,2,12742.81777553363,Apartment
454,Downtown,0,2145.706892228968,Condo
2837,Suburb,1,10584.286177783206,House
1709,Rural,1,5745.014747997614,Condo
4357,Suburb,3,19356.922173396375,Condo
1084,Suburb,5,5613.461038358803,Apartment
3475,Downtown,3,20877.052607604714,Apartment
4641,Downtown,8,34043.48507885764,Apartment
3106,Downtown,3,18712.409234261846,Apartment
837,Suburb,5,4094.039323466146,Condo
2141,Downtown,5,12856.773594916254,Condo
2755,Suburb,9,16628.988765076563,Apartment
824,Suburb,9,5056.664336268193,Apartment
3250,Downtown,0,14441.17797550051,House
4431,Rural,7,17667.518662002138,House
4415,Rural,2,16962.545809331186,Apartment
2668,Rural,5,10782.264852101012,Condo
4147,Suburb,2,19104.90887498807,Apartment
4795,Suburb,1,19481.674294599074,Condo
3001,Suburb,4,13956.183444968536,Condo
1271,Downtown,0,5622.840766257035,House
1466,Suburb,8,8574.317022632438,Apartment
3074,Downtown,6,20929.82850982535,Apartment
2282,Downtown,2,12237.850024243406,Condo
1153,Rural,3,4583.1061923205825,Apartment
4446,Rural,5,16382.828530560675,House
4036,Rural,2,13016.780678305126,House
4069,Downtown,6,27700.902016415468,Apartment
874,Downtown,5,5690.176149586465,Apartment
3561,Downtown,8,22003.48512517096,House
1448,Suburb,4,7270.6260412106685,Apartment
2015,Downtown,3,11267.375242318862,Condo
4154,Rural,2,15922.453542322102,Apartment
2791,Rural,9,13018.533050068498,Condo
2960,Downtown,0,15561.43670014552,Apartment
3424,Downtown,2,19708.011906901163,Apartment
3351,Rural,2,10820.07355144404,House
304,Downtown,6,1943.32158576612,Condo
1176,Rural,6,4568.869167256411,House
1291,Suburb,0,5394.264726668598,Apartment
4442,Rural,2,14429.378613056973,House
4664,Suburb,7,26291.939090391425,Apartment
4765,Downtown,8,34863.49535688705,Apartment
935,Downtown,6,6343.637114438765,Apartment
1993,Suburb,6,10015.375875554735,Condo
1982,Downtown,7,12893.020231162298,Condo
419,Suburb,5,2005.2900130268724,Condo
1130,Downtown,2,5497.352023708839,House
3975,Rural,0,13816.627803262914,Apartment
1669,Downtown,6,9593.186651181088,House
1040,Rural,0,3127.619789140637,House
416,Rural,0,1421.3878358401805,Apartment
3138,Suburb,8,15516.121319690006,House
1450,Downtown,9,11105.908071450714,Apartment
2231,Suburb,6,12152.289724919441,Apartment
1312,Downtown,3,7856.384152311235,Apartment
1964,Rural,5,8596.282926247934,Apartment
1381,Rural,0,4089.1758181538953,House
812,Downtown,6,4645.295882281428,House
3149,Downtown,5,17425.807159768723,House
859,Suburb,3,3802.5916686580535,Condo
3972,Downtown,6,22912.009392906883,House
4883,Downtown,2,23816.1909045314,House
3643,Downtown,0,17489.05554166125,Condo
4370,Suburb,3,21132.501496469064,Apartment
1770,Downtown,2,10173.558543580399,Apartment
880,Rural,0,3155.9409501326954,Apartment
2594,Suburb,1,10560.48605584785,Condo
3447,Suburb,4,14663.967256741917,House
4549,Rural,7,18122.44786253758,House
1979,Rural,0,5979.457423018222,House
3806,Rural,3,12905.94384274916,House
3044,Downtown,3,16874.824171088785,Condo
3656,Rural,4,12920.863921653585,House
4345,Downtown,6,29556.690516359184,Apartment
1543,Suburb,7,8049.105447094537,Condo
3418,Suburb,5,16559.62229853214,Condo
2441,Rural,0,8553.182261274556,Apartment
3359,Downtown,6,22887.39813781898,Apartment
4848,Rural,2,15729.694810860476,House
3259,Rural,5,14244.838144200716,Apartment
2565,Downtown,7,16764.634730826823,Condo
2779,Rural,6,11629.266697326002,Condo
4946,Suburb,9,27726.21636841044,Condo
1935,Rural,5,7178.553372833861,House
2057,Downtown,8,12761.244331924298,House
4752,Downtown,8,34827.119361770805,Apartment
2370,Suburb,0,8465.139393867676,House
3149,Downtown,0,13953.55447664106,House
3551,Downtown,0,17121.4432161368,Condo
4030,Suburb,7,20955.420620641104,Condo
2789,Rural,9,14113.063067307967,Apartment
1931,Suburb,6,9683.508513092382,Condo
3116,Rural,2,10157.843194481831,House
1315,Suburb,1,5858.872839169177,Apartment
1648,Rural,3,6559.796736085816,Apartment
4911,Suburb,2,20830.030335047613,Condo
3387,Rural,6,14177.18721616857,Condo
3139,Suburb,9,17547.705128437847,Condo
635,Rural,7,2979.3595982701736,Apartment
4892,Suburb,5,23602.239911549335,Condo
1195,Downtown,2,5769.7294641588815,House
3846,Rural,5,16811.945481488026,Apartment
1151,Suburb,1,4673.737389605506,Condo
1987,Rural,6,7716.190793193051,House
2231,Rural,9,9566.722675505263,House
4046,Suburb,6,20388.88609064104,Condo
2727,Rural,3,9220.404172338476,House
1868,Suburb,7,10519.502071306288,Apartment
4300,Downtown,3,25986.510065555794,Apartment
3038,Rural,6,11627.206251697535,House
3798,Downtown,3,22807.198778439342,Apartment
4213,Rural,4,16220.944092834852,Condo
1366,Rural,6,5337.50994357723,House
4680,Rural,9,23658.784987304363,Apartment
2744,Suburb,2,11683.607087441987,Condo
4407,Downtown,9,30872.8938052764,Condo
3673,Rural,4,15339.455582655186,Apartment
4269,Suburb,2,16618.547361808356,House
2846,Rural,4,11039.548664069325,Condo
1053,Suburb,2,4414.508743107384,Condo
2382,Rural,9,11155.59051403806,Condo
3074,Downtown,6,19373.91036756827,Condo
3196,Downtown,0,14165.321131652781,House
4485,Rural,8,21970.55331128734,Apartment
1075,Suburb,8,6231.542923069825,Apartment
1925,Rural,4,7966.782703294837,Apartment
3369,Suburb,8,18237.60572428447,Condo
717,Rural,9,3039.4724251779194,House
414,Suburb,5,2210.2563766119683,Apartment
916,Downtown,4,4851.327625511927,House
4274,Rural,2,16407.887878757756,Apartment
3567,Downtown,7,23263.35048911796,Condo
1125,Downtown,3,6775.38835139806,Apartment
1816,Rural,9,8452.018815973515,Condo
3446,Rural,2,12137.855290188007,Condo
712,Suburb,5,3714.688991635139,Apartment
1028,Suburb,7,4988.232934229296,House
3648,Downtown,8,24638.053448304792,Condo
3108,Suburb,5,13730.353680496342,House
975,Suburb,4,4905.645096713272,Apartment
3765,Rural,1,12670.980833850175,Condo
2804,Suburb,1,10478.83470923044,House
3267,Downtown,8,22038.01101162679,Condo
3086,Suburb,1,13549.82621532711,Apartment
1422,Downtown,1,7338.828579677115,Condo
4379,Rural,2,16746.314289453494,Apartment
1871,Downtown,2,9186.12183271402,House
2443,Suburb,3,10862.093563223727,Condo
1987,Rural,6,7637.788263598391,House
4432,Suburb,8,25933.581646400136,Apartment
4151,Rural,1,15244.45585439418,Apartment
3740,Rural,3,12677.192051046815,House
4066,Suburb,8,20105.67911323411,House
2626,Suburb,1,11615.177176278754,Apartment
3214,Rural,9,13736.760586234259,House
4252,Rural,0,14739.856403334945,Apartment
895,Suburb,9,4583.329108937266,House
1028,Downtown,7,7302.278593440991,Apartment
1665,Suburb,8,9790.268443085566,Apartment
4792,Rural,6,20027.852607259825,Condo
998,Suburb,7,5591.088097263554,Apartment
695,Downtown,3,4113.888637671871,Apartment
4471,Suburb,3,19866.776410960756,Condo
4660,Rural,1,15763.468929229746,Condo
2802,Suburb,7,13434.1618850442,House
2119,Rural,1,6560.0504216047775,House
1017,Rural,8,4957.900349880784,Apartment
3082,Suburb,3,12540.351789901435,House
3877,Rural,0,11451.580238863544,House
443,Rural,3,1770.4999826593653,Apartment
3440,Downtown,2,18324.206978948874,Condo
4791,Downtown,5,28942.04769391271,Condo
3238,Downtown,6,22031.72746461642,Apartment
3936,Downtown,7,27802.135618180808,Apartment
3522,Rural,1,12853.490207779383,Apartment
1467,Suburb,5,7676.268567465197,Apartment
2916,Rural,5,12683.019126026913,Apartment
1362,Rural,9,6906.637812275492,Apartment
2456,Rural,4,8688.962556305525,House
3282,Suburb,9,16939.730745626657,House
3594,Downtown,9,23010.60560459956,House
1456,Rural,6,5939.96769802482,Condo
1032,Rural,2,3973.4545520670554,Apartment
4630,Downtown,3,27829.09582354072,Apartment
1253,Rural,9,5370.944893320331,House
2839,Suburb,8,15296.520064056396,Condo
3624,Rural,3,12397.172470778212,House
3601,Rural,2,13798.714277095023,Apartment
1842,Downtown,1,10085.075891479364,Apartment
1491,Rural,4,5375.800509385023,House
3293,Rural,3,11220.15698226431,House
2981,Suburb,7,16915.895552583897,Apartment
1517,Downtown,6,8723.118362613415,House
1840,Downtown,5,12037.446204458081,Apartment
3536,Suburb,1,13121.2845211412,House
2686,Rural,2,9478.41562847846,Condo
4019,Downtown,9,30513.455914240403,Apartment
1688,Downtown,8,11396.166013990909,Condo
2156,Rural,8,9020.611255866153,House
1665,Rural,4,6475.873753288586,Condo
799,Downtown,2,3985.606228623017,House
1980,Rural,1,6583.1410769351505,Condo
810,Downtown,7,5376.529965716015,Condo
4612,Rural,5,18444.593648573526,Condo
1624,Rural,9,8151.52115667835,Apartment
1455,Suburb,6,7221.336639360679,Condo
2127,Rural,0,6290.530414801603,House
3441,Suburb,0,12187.467328292327,House
3786,Rural,9,19190.207522008615,Apartment
2110,Downtown,1,11588.518365038908,Apartment
3223,Downtown,9,20753.115119708782,House
2514,Rural,2,8858.212832877549,Condo
4486,Rural,0,13303.970678701731,House
1013,Downtown,4,6359.275326331519,Apartment
3902,Rural,2,15090.853672306235,Apartment
4434,Suburb,0,15749.281028814257,House
3822,Suburb,7,19922.478718567945,Condo
4568,Suburb,5,22062.37932001486,Condo
1543,Suburb,8,8992.404923167203,Apartment
4009,Suburb,2,15638.288998860713,House
1381,Rural,8,5691.708829241443,House
755,Rural,8,3723.484198403655,Apartment
1194,Suburb,0,4162.371287026144,House
1684,Rural,2,6445.493334915417,Apartment
2258,Rural,5,9030.73879631951,Condo
3372,Suburb,7,17535.346324018763,Condo
2296,Rural,3,7824.110293851561,House
4585,Rural,4,17773.181605524336,Condo
804,Rural,8,3507.910355341235,Condo
1514,Suburb,5,8015.329587906835,Apartment
1831,Rural,6,8373.726162882238,Apartment
3740,Downtown,6,21459.79853455927,House
1123,Downtown,3,6799.0512273136255,Apartment
1228,Suburb,3,4979.148867959086,House
433,Downtown,3,2199.8328447696103,House
2405,Suburb,4,12111.250783794017,Apartment
3927,Downtown,4,22785.555085538774,Condo
2152,Downtown,7,14003.875111289191,Condo
4475,Downtown,8,30231.97021350001,Condo
3233,Suburb,1,13091.398525427188,Condo
3584,Suburb,6,16560.50870242346,House
4598,Rural,0,14712.900651815093,Condo
3111,Suburb,0,11011.387415311423,House
1550,Downtown,3,9405.830398631675,Apartment
3812,Downtown,9,28958.148519649356,Apartment
1556,Suburb,6,7217.51459655578,House
3676,Suburb,1,14907.29889769775,Condo
3786,Suburb,1,14022.744772229365,House
3884,Rural,0,12509.628838955754,Condo
1696,Downtown,9,11843.835367252199,Condo
3937,Rural,1,12313.637156283568,House
3630,Rural,6,13921.412072111227,House
3003,Downtown,8,20338.75071099638,Condo
770,Downtown,5,4346.712538546783,House
1653,Suburb,9,9206.860835385582,Condo
3083,Suburb,1,11352.332948976662,House
3131,Rural,9,15861.821118412849,Apartment
657,Suburb,9,3715.063241839347,Condo
3319,Suburb,8,19430.529587046676,Apartment
967,Downtown,6,5508.159786066676,House
4768,Downtown,0,24964.778000752296,Apartment
1445,Suburb,8,7164.487481327646,House
4485,Downtown,1,22762.45042109581,Condo
4019,Suburb,3,16314.421975067524,House
3045,Downtown,8,18891.222313905135,House
839,Downtown,3,4701.338075511921,Condo
3079,Downtown,2,14920.642341121638,House
4436,Downtown,0,21499.525218737606,Condo
4075,Suburb,6,18777.0164476599,House
2808,Rural,5,11345.076590533861,Condo
3079,Downtown,9,23297.4921176552,Apartment
1224,Suburb,3,5019.993742156321,House
3256,Suburb,5,14334.128017732293,House
1881,Downtown,5,10363.050414252248,House
3624,Rural,3,13433.231444568708,Condo
4785,Downtown,5,26468.958598921574,House
555,Suburb,9,3111.0194763805316,Condo
2138,Rural,7,8616.013112527144,House
2244,Suburb,2,10333.614229800261,Apartment
309,Downtown,3,1608.8430600613947,House
3171,Rural,9,16036.311363898018,Apartment
1097,Suburb,0,4234.112291256386,Condo
1315,Suburb,3,6281.5495842537475,Apartment
2124,Suburb,9,10927.375608810442,House
4769,Downtown,9,30744.050061890608,House
3436,Rural,8,15494.332539935476,Condo
2493,Downtown,7,14888.056465821379,House
523,Downtown,3,2720.004505230643,House
4458,Downtown,6,28043.737867881126,Condo
4225,Rural,9,19749.052735929432,Condo
4300,Downtown,2,24735.02781037025,Apartment
1933,Downtown,8,13128.54828362903,Condo
2452,Downtown,9,15748.038736393699,House
810,Downtown,3,4544.964133206526,Condo
684,Suburb,1,2502.9736607486125,House
704,Downtown,9,5312.1561606369405,Apartment
4913,Suburb,4,22786.106267603842,Condo
4871,Downtown,1,22583.56966774346,House
2300,Rural,9,10720.517892571068,Condo
3056,Suburb,5,14696.933199111167,Condo
1968,Suburb,9,10949.39409056797,Condo
1760,Suburb,0,6922.637816585395,Condo
3936,Suburb,5,20565.27144041903,Apartment
3024,Rural,3,10238.963485677117,House
4478,Downtown,2,23796.31828495666,Condo
2348,Suburb,1,8679.614402432178,House
4446,Rural,6,20137.373149128252,Apartment
1016,Suburb,8,5130.00807882131,House
4844,Downtown,2,23610.083477210606,House
4883,Suburb,5,25600.346168297852,Apartment
2123,Rural,8,9649.442552616292,Condo
2381,Downtown,1,11079.826418858776,House
3719,Rural,6,14259.776423543874,House
1874,Downtown,4,10790.327806518193,Condo
549,Downtown,4,3162.952056925227,Condo
973,Downtown,6,5592.383065803889,House
4833,Suburb,8,28283.77469130974,Apartment
2465,Rural,3,9205.422273586368,Condo
1070,Rural,8,4878.815295270566,Condo
4262,Rural,9,21607.45650080718,Apartment
4663,Downtown,8,28898.63767053093,House
2284,Suburb,3,10097.826572718917,Condo
1377,Downtown,2,6772.929760235411,House
535,Rural,1,1674.915134184499,House
688,Suburb,8,3450.407940303355,House
3337,Suburb,1,14698.505892615594,Apartment
2148,Suburb,5,9526.078508924198,House
3114,Rural,4,11130.090218492653,House
3674,Suburb,4,17003.229964202492,Condo
3578,Suburb,3,15884.217653436981,Condo
1552,Downtown,5,10233.403749764584,Apartment
4281,Downtown,4,26885.285513478342,Apartment
4973,Suburb,3,22092.37010406873,Condo
2422,Suburb,8,13089.782660367811,Condo
4830,Downtown,5,31626.10450502802,Apartment
2450,Downtown,9,15717.687870845513,House
1629,Downtown,9,12342.709134104149,Apartment
1658,Rural,9,7129.449407199475,House
2782,Rural,2,9858.794016884034,Condo
4842,Downtown,9,33861.46287588092,Condo
2317,Suburb,5,11193.03694975941,Condo
1631,Downtown,0,7291.189515257609,House
4644,Rural,4,19478.615817225127,Apartment
4561,Suburb,9,23501.421525127353,House
1658,Rural,5,7193.216519446724,Apartment
4937,Suburb,7,27953.805229296126,Apartment
3477,Rural,8,16948.57799897768,Apartment
2428,Suburb,2,10258.652296288403,Condo
2480,Suburb,1,10860.50846960161,Apartment
437,Suburb,3,1948.4803022305643,Condo
3772,Suburb,7,21367.967962216248,Apartment
3132,Rural,7,14765.321605170062,Apartment
3879,Rural,2,13732.154307143162,Condo
3331,Suburb,3,14750.452375908371,Condo
4464,Suburb,2,17428.410218992325,House
2893,Rural,9,14681.642647827715,Apartment
4600,Suburb,1,18678.578056883605,Condo
4118,Suburb,3,16721.72228864759,House
4438,Suburb,5,19690.25307048043,House
4123,Downtown,4,23958.966635591132,Condo
4342,Suburb,2,20070.40668027536,Apartment
